Id,SalePrice
1461,116948.63586584397
1462,158990.5592645991
1463,187713.4545275005
1464,183077.11935201287
1465,188577.7359450761
1466,179755.66449739633
1468,178456.84253642187
1469,176924.13908706987
1470,96039.26585157901
1471,194847.80305365124
1472,80065.8314598236
1473,88509.64858089539
1474,152203.0496196135
1475,137630.6578941503
1476,372503.124752522
1477,255450.85639323882
1478,295651.10924348165
1479,271197.79652322107
1480,372601.2855131135
1481,287863.44561033737
1482,204353.93044408556
1483,180756.13898656075
1484,167351.3615114019
1485,174326.33138920314
1486,205098.22395430808
1487,303056.2884473876
1489,209490.9524476272
1490,206083.30752798368
1491,193440.99407060427
1492,79710.2671154686
1493,197707.01932698768
1494,286589.90336580214
1495,291473.7834362297
1496,253838.88733588692
1497,197604.33121285366
1498,167550.02157174313
1499,165700.327373009
1500,134683.77111279976
1503,281927.5780790989
1504,238048.7826044907
1505,214430.44828654075
1507,232165.51247868588
1509,154551.1087452386
1510,137965.5922319037
1511,138264.05020817538
1512,176929.56406845828
1515,197657.49128500037
1516,155279.39517868706
1517,157644.7950684524
1518,133753.84358362624
1519,223216.4656389099
1521,125411.77265813618
1522,159780.68099955394
1523,103652.86543467535
1524,118426.03777737373
1525,120267.76448827249
1526,97325.88503064206
1527,97709.33803116187
1528,124126.20131704307
1529,148688.0589453976
1530,168381.1883309965
1531,122277.72655365114
1533,155598.77620139258
1534,115161.23420818785
1535,168024.01066183887
1537,71550.55345800576
1538,182206.07383193553
1539,252988.64381406322
1541,167368.0379779723
1542,154820.3567802562
1544,84015.92825280759
1545,101427.81007325648
1546,97859.52484119136
1547,145518.6237976065
1548,148225.9297739268
1549,105042.93133241928
1550,147492.04240685533
1551,91115.8821213303
1552,124789.37751878976
1554,116794.80668695431
1555,169360.98546739906
1558,84469.05700421569
1560,148203.14338799674
1562,117981.12785554447
1563,100424.82392901472
1565,150875.98396384742
1567,66105.5797225314
1569,161716.5207089318
1570,127189.57573387778
1571,133555.59255383746
1572,138375.775710903
1573,231576.19202173245
1575,211423.16840398905
1576,230597.11710599205
1577,192831.51780950843
1578,172642.19482185223
1579,128921.3806038585
1581,133102.20068599167
1582,113756.95008566178
1583,310629.1970143175
1584,232554.70883386108
1587,94136.73364148333
1588,138139.7697411898
1589,83550.39378101076
1590,123089.58027172723
1592,131724.7539598792
1596,261633.8853019002
1597,188302.11887449148
1598,189422.2279723622
1599,167570.91350973406
1600,176807.3411041111
1601,56151.0626479186
1602,88623.41091834998
1603,80249.7956446246
1604,267124.4240013991
1605,230859.75969914347
1606,157359.24239379755
1608,211410.45394709674
1609,192916.3632750497
1610,157474.19037300514
1611,133784.5573696606
1612,164616.4103470202
1614,108701.12544788903
1617,84167.9943637113
1618,113202.91107565527
1619,128223.02571044484
1620,187272.009294977
1621,119127.27829322056
1622,150462.40035480686
1623,268251.4411577145
1624,217022.04673083845
1625,98783.88669639181
1626,164920.57636762317
1627,190750.775351026
1629,172223.88561498545
1630,311679.4522398991
1631,216781.47209594405
1632,258260.7438629688
1633,170424.01106460852
1634,174486.38443386398
1636,146374.08604207847
1637,194108.34870149367
1639,181088.76960957976
1641,185099.97591193207
1642,232576.15240659853
1646,141142.61077816586
1647,164330.36931383327
1650,106699.6721526098
1651,107879.44958171115
1652,77011.87471087705
1653,86906.01115492723
1654,154266.53063447995
1655,151374.21103849105
1656,155630.26168205048
1657,157212.00810004212
1658,154492.10508059975
1659,141683.37240989384
1661,360701.10405243805
1662,352012.6990192276
1663,379059.23284592584
1664,428798.2928802859
1665,291014.5336265763
1666,303500.1442897013
1667,361288.24065039156
1668,312174.35433953226
1669,288104.06131451833
1670,323293.1221519462
1671,266230.62666229263
1672,433772.2097997579
1673,285720.990665173
1674,226299.48733266038
1675,185323.12544075996
1676,186384.3410068559
1677,212645.39027068182
1678,431571.41745656915
1679,342269.14932424156
1680,313964.9433358534
1681,261710.385553524
1682,284681.91362805146
1683,184679.62185531086
1684,167042.57549742507
1685,171821.3578855415
1686,164654.70360925904
1687,165215.3338835959
1688,185576.86053985116
1689,182837.33814652904
1693,168859.72763445223
1694,187308.74864688184
1695,167004.91498885225
1697,167035.9804932688
1698,348903.8598692469
1700,255413.08587222878
1702,244001.0864084214
1703,238473.45982315604
1704,255397.41256960135
1705,216157.89481530918
1706,390717.45399659616
1708,215731.94113191022
1709,261810.09616801608
1710,208739.55712539237
1711,236008.9371026979
1712,236658.5013985364
1713,248997.47495333303
1714,218902.90082582622
1715,207088.00165808137
1716,178124.88574862713
1717,165252.30592624057
1719,206546.16634675168
1720,286450.4734747967
1721,166930.50630838174
1723,156766.18429136343
1724,201188.5720291554
1725,236241.43877709095
1726,184948.0153104813
1727,161809.13766893378
1728,180481.87240454758
1731,101581.99928979608
1736,102781.34307651865
1739,284325.60282277805
1742,181059.6482469618
1743,175025.8577076514
1745,250391.21328655042
1746,224762.78961864265
1748,223747.0286466037
1749,161194.00298579776
1750,120171.11360521936
1752,106543.4093595332
1753,139722.9937990774
1754,247095.08545912703
1756,108697.78514189066
1757,106777.73216250169
1760,160488.2063493525
1761,157186.27643397194
1763,164523.51667920648
1764,95617.27268653769
1765,159314.4137471418
1766,179476.3499170069
1767,217376.83519479024
